ano;mês;dia ;hora;velo;dire;prec;Rajada;;;;;;;;;
2007;1;01;0;1,1;330;0;2,3;;;;;;;;;
2007;1;01;1;1,1;308;0,4;2,3;;;;;;;;;
2007;1;01;2;1;311;1,6;4,1;;;;;;;;;
2007;1;01;3;0,7;324;0;1,7;;;;;;;;;
2007;1;01;4;1;17;0;1,7;;;;;;;;;
2007;1;01;5;2,2;35;1;4,7;;;;;;;;;
2007;1;01;6;0,7;12;0,4;4,7;;;;;;;;;
2007;1;01;7;1,9;309;0,4;6,4;;;;;;;;;
2007;1;01;8;0,5;226;0,8;4;;;;;;;;;
2007;1;01;9;3,7;19;5,6;8;;;;;;;;;
2007;1;01;10;0,7;354;0,4;8;;;;;;;;;
2007;1;01;11;1,3;13;0,4;3,3;;;;;;;;;
2007;1;01;12;1,3;20;0,2;3,5;;;;;;;;;
2007;1;01;13;1,9;8;0;5,8;;;;;;;;;
2007;1;01;14;1,2;294;0;3,7;;;;;;;;;
2007;1;01;15;1,1;211;2,8;3,5;;;;;;;;;
2007;1;01;16;0,5;270;0,2;2,4;;;;;;;;;
2007;1;01;17;1,4;182;4,6;3,4;;;;;;;;;
2007;1;01;18;1,8;199;11,6;4,3;;;;;;;;;
2007;1;01;19;1,9;200;0,6;4,3;;;;;;;;;
2007;1;01;20;1,2;199;0;3,6;;;;;;;;;
2007;1;01;21;0,8;290;0,2;2,5;;;;;;;;;
2007;1;01;22;1,8;324;0,4;3,6;;;;;;;;;
2007;1;01;23;0,6;191;2,6;4,1;;;;;;;;;
2007;1;02;0;1,1;311;0,2;2;;;;;;;;;
2007;1;02;1;1;302;0;2,5;;;;;;;;;
2007;1;02;2;1,2;280;1;2,5;;;;;;;;;
2007;1;02;3;1;318;0;3,9;;;;;;;;;
2007;1;02;4;0,5;261;0,8;2,2;;;;;;;;;
2007;1;02;5;0,5;130;0,2;1,7;;;;;;;;;
2007;1;02;6;0,7;49;2,6;2,3;;;;;;;;;
2007;1;02;7;0,6;343;0,4;3,1;;;;;;;;;
2007;1;02;8;1,1;101;1;2,7;;;;;;;;;
2007;1;02;9;1,4;74;0;2,8;;;;;;;;;
2007;1;02;10;0,8;168;5,8;2,7;;;;;;;;;
2007;1;02;11;1,2;271;0,8;3,9;;;;;;;;;
2007;1;02;12;1,4;313;0;3,3;;;;;;;;;
2007;1;02;13;1,3;295;0;3,4;;;;;;;;;
2007;1;02;14;1,7;283;0,4;3,9;;;;;;;;;
2007;1;02;15;2;179;0;5,9;;;;;;;;;
